Character,Line
Ross, Right! Right! I just—I want you to know that I’m going to be
Rachel, What married?
Ross," Well yeah, I think we should get married."
Rachel," What, because that’s your answer to everything?"
Ross," No, because that’s the right thing to do."
Rachel," Yeah, maybe if you’re in love. But Ross, we are not in love, are"
Ross, No but…but still you can’t possibly do this alone.
Rachel, Excuse me?
Ross," Come on Rach, you can’t even eat alone in a restaurant."
Rachel, What?!
Ross," I’m just saying if you can’t eat by yourself, how do you expect"
Rachel, I can too eat by myself!
Ross, When have you ever?
Rachel, When certain people leave the table and I am not finished!
Ross, Well certain other people take two hours to eat a bowl of soup!
Rachel," Oh please, you inhale your food!"
Ross, I grew up with Monica! If you didn’t eat fast you didn’t eat!!
Dr. Long, (entering) Am I interrupting?
Rachel," Oh no Dr. Long, please come in. This is Ross, he is the father."
Ross," But not the husband, because evidently she can do this alone."
Dr. Long, Huh. Nice to meet you. I’ll get started on this.
Ross," (To Rachel, standing by her feet) I don’t know why you can’t"
Rachel, I do need you! I need you to stand near my head!
Dr. Long," Okay, everything looks good. Here it is on the screen. (We see Ross"
Ross, Oh my God.
Rachel," Wow. There it is, I see it."
Dr. Long, Congratulations. I’ll give you two a minute.
Rachel, Okay.
Ross, Thank you.
Ross, Pretty amazing huh?
Rachel, I don’t see it!
Ross, What? What?!
Rachel, I can’t see it!
Ross, You-you just said that you did!
Rachel," I know, I lied! I didn’t want her to think I was a terrible mother!"
Ross," Oh sure, come here! (Sits her up) Sure you can! Uh, look come here look,"
Rachel," Oh. Oh, it’s beautiful. I see it now."
Ross, Do you really?
Rachel," No, I don’t see it!"
Ross," Come on! Come on! Here, okay-okay, you see this? (Points) This tiny thing"
Rachel, Yeah.
Ross, Sweetie that’s it.
Rachel," That’s it? Well I saw that! Ohh-ohh-oh, thank you."
Ross, You’re welcome.
Rachel, Wow! I can’t believe that’s our baby.
Ross," Yeah, that’s our baby."
[Scene," Joey and Rachel's, Joey and Phoebe are there as Rachel and Ross return from the"
Rachel, Hi.
Joey, Hey!
Phoebe, Hey! So how was the doctor?
Rachel," Oh, everything went great."
Phoebe, Good.
Ross," Oh hey, show them the picture of your uterus."
Phoebe, Oh.
Joey, I don’t see the baby. Where is it?
Rachel," Oh no, I know I couldn’t see it either at first, but it’s"
Ross, Oh. (He takes the picture and hugs her.
Written by, Scott Silveri
Transcribed by, Eric Aasen
[Scene," The Hallway, Chandler and Monica are returning from their honeymoon.]"
Chandler," Wait. Before we go in, I just want you to know I love you. I had a"
Monica, You’re really sticking with the shell necklace huh? (Points to
Phoebe, Hi!
Joey, Hey! You’re back! (Hugs and kisses all around.)
Monica, Hi sweetie!
Phoebe, Come on in! 
Phoebe, So how was the honeymoon?
Monica," Oh, so much fun. But the best part is, we met this incredible couple on"
Phoebe, That was the best part? (To Chandler) Good honeymooning tiger.
Monica," No, they were really cool. They were on their honeymoon too!"
Chandler," They’re terrific, and they live right here in the city."
Monica," Yeah, can we go call them? Is it too soon to call? I wanna call."
Chandler," I’m sorry, we’re just kinda excited because we finally have"
Monica, I know.
Joey, A couple? Like two people? Like (points to himself) one (points to
Monica, This is different! Greg and Jenny are in a relationship.
Phoebe," Oh, Greg and Jenny yuck! (Angrily) Hi Greg, I’m Chandler this is"
Chandler," Listen, they are really great. If you just got a chance…"
Joey, Y’know what? Why don’t you just give us our souvenirs and get
Chandler, We really…didn’t get a chance to…
Phoebe, You have got to be kidding me!
Monica, We didn’t get anything for anyone.
Joey, Hm-mm! Yeah nice necklace!
Monica, That you can have.
{Transcriber’s Note, Tradition was broken here as there were no commercials
[Scene," Monica and Chandler's, Ross and Rachel are entering with the rest of the gang"
Rachel, Hi!
All, Hey!
Ross, Hello!
Rachel, Welcome home.
Ross," So, how was the honeymoon?"
Monica, It was great! It was great! How about you?! I mean you’re having a
Rachel, Oh! Look! I have a sonogram picture! 
Monica, Oh great! (Shows them the picture.)
Chandler, Ross! It’s got your wavy black lines!
Monica," All right, so now that Ross knows can you tell us y’know how it"
Phoebe, Monica! That’s not right! Start with where.
Rachel," Well it happened about six weeks ago, and uh I had just got home from"
Joey, You’re welcome buddy.
Ross," (glaring at him) Yeah, thanks. (Joey nods no problem.)"
Rachel," And so I had a lot of work to do so Ross, nice guy that he is, offered"
Ross, (laughs) Umm that’s…that’s a little misleading.
Rachel, What is?
Ross, The lie you just told.
Rachel, That-that you came on to me?
Ross, There’s the one!
Rachel," But you did! I mean, let’s be honest."
Ross," Yes let’s. Y’know what? Uh, it’s-it’s not important."
Joey, Whom. (Everyone looks at him shocked.) That’s right.
Rachel, You know you kissed me first.
Ross, What? What?! You were begging me to kiss you! You-you-you were sending me
Rachel, I was sending you signals?
Ross, Yeah!
Rachel," Oh please. Okay, anyone in this room think that I would send Ross"
Ross, Y’know what?! It doesn’t matter! It doesn’t matter what you
Rachel," Okay. So these signals Ross, explain this to me, ‘cause maybe I"
Ross," Y’know what? Y’know what? Rachel, just-just drop it."
Rachel," No please, show me how I begged you!"
Ross," I can show you, I have it on videotape! (Stunned silence) It’s an"
[Scene," Monica and Chandler's, time has lapsed, Phoebe, Joey, Chandler, and Monica are"
Phoebe, I can’t believe he taped the two of them having sex!
Joey, Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.
Chandler, Y’know who has a great video camera?
Phoebe, (nasally) Greg and Jenny?
Monica, Do you still wanna call ‘em? I wanna call ‘em.
Chandler, Let’s call ‘em.
Joey, Yeah! Ask them if they brought their friends any souvenirs!
Monica, (on phone) Hello? (Listens) Eighth street deli?
Joey," Hey, hang up! You get food poisoning just talkin’ to that place."
Monica," (on phone) Uh sorry, wrong number. (Hangs up)"
Chandler, Here you go. (Shows her the number again.)
Monica, (on phone) Hello? (Listens) (To All) It’s the deli again!
Joey, All right! I’ll have a sandwich!
Monica, (hangs up) I don’t think this number’s right!
Chandler, What?
Phoebe, You got fake numbered.
Monica, What?! People don’t do that!
Joey, Oh I think we do.
Monica, They gave us a fake number? Why? Why would they do that?
Chandler, I don’t know! You were a delight to talk to. You asked all those
Monica," And you’ve never been funnier. Joke, joke, joke, you were a hoot!"
Joey," Y’know what? Don’t worry about it, you still got me and Phoebe."
Phoebe," Excuse me, I don’t want Greg and Jenny’s rejects."
Ross, (entering) Rachel won’t talk to me! She won’t even open the
Phoebe," Hmm, I wonder why. Pervert!"
Ross," Okay, listen I am not a pervert!"
Phoebe, That’s like the pervert motto! Yeah! Yeah! They have you raise your
Ross," Filming Rachel is not something I planned. Okay look, here’s what"
Joey, Personal thing? What personal thing? I don’t know.
Ross, About…about sex? (Joey looks at him confused) That I hadn’t had
Joey, (laughs) Yeah I knew what you were talkin’ about.
[Scene," Joey and Rachel's, Joey is reading a cereal box as Ross enters wearing the red"
Ross, Hey!
Joey, Hey.
Ross, Do you have a minute? I’d like to talk to you about something
Joey," Sure. What? About uh, you showering with your mom?"
Ross," I actually had a topic in mind! I’m, I’m kinda going through a"
Joey," Whoa, for like months?"
Ross," Five to be lying, six."
Joey, Six months? Whoa that’s rough.
Ross," Well, I mean it’s not all bad. I’m learning to appreciate the"
Joey, The sky’s blue Ross and I had sex yesterday!
Ross," Please, help me! I have a date tonight. It has to go well"
Joey," Okay. Okay. Umm…Ooh! Oh-oh, I got something. It’s this story I"
Ross, Really? Well then tell it to me.
Joey," Okay. Now you’re gonna want to have sex with me when you hear it, but"
Ross, (sarcastic) I’ll try to control myself.
Joey," Okay. (Clears throat) Years ago, when I was backpacking across Western"
Ross, (laughs) You were backpacking across Western Europe?
Joey, Have a nice six more months Ross! (Starts to leave.)
Ross," (stopping him) Okay! Okay! Okay. I’m sorry. Please, please, you were"
Joey, I was just outside Barcelona hiking in the foothills of Mount Tibidabo. I
Ross, (intently listening) Why?
[Scene," Ross's Apartment, Ross is on his date with Kristen and they’re drinking"
Kristen," Umm, this is great wine."
Ross," It’s from France…In Europe…Western Europe. Y’know umm,"
Kristen, Really?
Ross," Uh-hmm—Wait! It gets better. Um, yeah I was in Barcelona."
Kristen, I studied for a year in Barcelona. (Ross is stunned and worried.)
Ross," Anyway, umm so I was um, I was hiking…"
Kristen, I love hiking!
Ross, (whines) Oh that’s great! I was hiking along the foothills of Mount
Kristen, I think its Tibidabo.
Ross, Okay! Do you wanna tell the story?!
[Scene," Joey and Rachel's, Joey is standing at the counter as Ross enters.]"
Joey, Whoa! What are you doing here? How did your date go?
Ross, Great! I’m across the street having sex with her right now. Your
Joey," Hey! Look, if it didn’t work it’s because you didn’t tell"
Ross," No! No, I don’t…don’t want to."
Joey, How long since you’ve seen a girl naked?
Ross, I was backpacking across Western Europe.
Joey, I’m not feeling it.
Ross," I was just outside Barcelona, hiking…"
Joey, No! No! No Ross! I’m not hot! Are you hot?
Ross, It’s been six months! I’m always hot!
Joey, Well you’re not selling the story! It’s like; it’s like you
Ross, I’ll try that.
Joey," All right now… All right, you’re all set up. You’re good to"
Ross, Thanks.
Joey, Good luck.
Ross, Thanks. And-and hey Joe?
Joey, Yeah?
Ross," Listen, if you ever have any problem with the ladies you know I’ll"
Joey, (trying not to laugh) That means a lot to me man. (Exits.)
Ross, Hello! Can I get you anything? Huh? Lens cleaner? Your battery okay?
Rachel, Oh Ross!
Ross, Hi!
Rachel, Thank God you’re here! You have to help me! Were you just talking
Ross," That’s less embarrassing, yes. Yes I was."
Ross," (voiceover) So when she came in, I got distracted and totally forgot about"
Chandler," Yeah, we’re gonna need to see that tape. (They rest of them"
Monica," Yeah, definitely."
Ross, What a great idea! That will get Rachel to forgive me!
Joey, Y’know what? This is not fair to her. Let’s just forget the
Ross," Thank you. (Joey mouths to Ross, ""You’ll show me right?"")"
Joey," You’re right. (Mouths, ""I know you’ll show me, right?)"
Ross, Joey! No!
Joey," Loud and clear! (Mouths, ""You’ll show me,"" and nods.)"
[Scene," Monica and Chandler's, Monica, Chandler, Joey, and Phoebe are now sitting in"
Monica, I still don't get why Greg and Jenny would give us a fake number.
Joey," Y’know, if they knew what they were doing they probably didn’t"
Monica," Okay, maybe people give out fake numbers, but they don’t give out"
Joey," Oh yeah? (To Phoebe) Hi, Ken Adams, nice to meet you."
Phoebe, Regina Philange. (Ken and Regina shake hands.)
Chandler," I still don’t get it, we didn’t do anything wrong."
Monica," I know! Although, you did tell an awful lot of jokes."
Chandler, I thought you said those jokes were funny. Joke! Joke! Joke!
Monica, (rolling her head from side to side) Joke. Joke. Blah! Blah! (Joey and
Chandler, Well maybe it was all of your questions.
Monica, What about my questions?
Chandler," The sheer volume, it was like flying with the Riddler!"
Monica," Oh, I’m sorry. Was that another joke?"
Chandler, (angrily) Was that another question?
Rachel, (entering) Hey! Is Ross still here?
Joey," Uh no Rach, he’s gone. But listen, he told us what happened and it"
Rachel, Oh really? Well how would you like it if I had sex with you and I taped
Ross," Look, it was accident! Okay? I-I feel bad that it happened, but I swear, I"
Rachel, Thank you. (She sets it on the floor and is about to stomp on it with
Monica, Hell yeah!!!
Rachel, I am not gonna show you this!
Phoebe," No! Not the sex part, just the stuff leading up to it."
Ross," Forget it, she’s destroying it."
Phoebe, Okay fine! Fine! We’ll just have to think of some other way to put
Ross," Look, forget it Phoebe. Okay? It’s Rachel’s tape and she can do"
Rachel, I wanna see it.
Ross, What?!
Rachel, Clearly you don’t want people to see this tape. Now I don’t
Joey, (confused) Are we watchin’ the tape or not?!
Ross, I don’t want people to see it for your sake.
Rachel," Ahh, I don’t believe you. I think you don’t want them to see"
Ross," Rachel, please…"
Rachel," Ah, a little preview!"
Ross," Fine. Fine, but I want the record to show that I tried to take the high"
Rachel," Okay, here we go. (Pushes play.)"
Ross, (on tape) Hello! Can I get you anything?
Joey, (To Phoebe) I’m so happy!
[Scene," Monica and Chandler's, the scene is continued from earlier.]"
Rachel," (on tape) Oh, thank God you’re here! You have to help me! Were you"
Rachel, There I am.
Phoebe, You’re gonna get pregnant.
Rachel," (on tape) I screwed up so bad, I told Monica that I would stuff and send"
Ross, (on tape) You didn’t do it?
Rachel, (on tape) I-I know—I had put them in…in-in my desk at work and
Monica, (taking Rachel’s hand) Sweetie okay. It’s okay. Everybody made
Rachel, Kinda hurtin’ my hand though.
Monica, I know.
Rachel, (on tape) (Ross hands her a glass of wine) I cannot believe that I did
Chandler, Did you do it on our invitations?!
Ross, (pause) Not on the ones we sent out.
Chandler," So, just the ones gave back to us and we had framed! (Slams the framed"
Rachel, (on tape) Can you believe this is already happening? I mean it seems
Ross, (on tape) I know. Hey remember…remember the night they got engaged?
Rachel," (on tape) Oh, I remember how we almost. Do you think we would’ve"
Ross," (on tape) I mean I…I know I wanted to. I just, I just wasn’t"
Rachel, (on tape) Oh I wanted to.
Ross, (on tape) So we…we both wanted to.
Rachel, (on tape) Interesting.
Ross," (on tape) Yeah. (Pause) Anyway umm, it probably worked out for the best."
Rachel," (on tape) Oh yeah, sure."
Rachel," Okay, in about ten seconds you’re gonna see him kiss me."
Ross, And in about five seconds you’re gonna see why.
Rachel, (on tape) Ross did I ever tell you about the time that I went
Rachel," Okay, get ready to see some beggin’!"
Phoebe," Oh, you came on to Ross!"
Rachel, What?!
Ross, Now I’m so happy.
Rachel, What are you talking about?!
Monica, You used the Europe story!
Chandler, That’s the magic story you use when you wanna have sex!
Rachel, How do you know about that story?!
Joey, How do you know about that story?!
Rachel, I heard it from my friend Irene who heard it from some guy!
Joey, (raises his hand) Some guy!! (Points to himself.)
Rachel," No. No, she told me his name was Ken Adams."
Joey, (raises his hand and points to himself again) Ken Adams!!
[Scene," Joey and Rachel's, Rachel is looking at the tape sitting on the counter as Ross"
Ross, Hi.
Rachel," So uh, apparently people are familiar with the Europe story?"
Ross," Yeah. Listen about that, the whole uh, who came on to who thing really"
Rachel, It was an amazing night.
Ross, It was. It was an amazing night.
Rachel, You think it looked amazing?
Ross, I uh… I don’t know. I mean I…I honestly didn’t watch
Rachel," Yeah, me neither. Yet…"
Ross, Uhhhhhh…that-that may be weird.
Rachel," Yeah, it would be really weird."
Ross, Good luck.
Rachel, Good luck to you.
Ross, Mind if I mute?
Rachel, Oh please. (He does so.)
Ross," Oh, oh there go the clothes."
Rachel, You are undressing very quickly.
Ross," Six months Rachel, six months."
Ross and Rachel, Ah. (Pause) Oh.
Ross, Hey. We-we look…we look pretty good.
Rachel, That’s what I was gonna say.
Ross, Oh nice tan!
Rachel, Thank you! I had just gone to the beach that weekend.
Ross, Ah….
Rachel, Have you been working out?
Ross, I have been working out.
Rachel," Really? Wow, this is so much better than I…"
Ross and Rachel, Ohh! Ew!
Ross, Oh that’s not pretty.
Rachel, Oh! Oh!
Ross, No!
Rachel, Oh God!
Ross, Oh no!
Rachel," Oh, make it stop!"
Ross, Oh no!!
Rachel, Make it stop!!
Ross, No!!
Rachel, Have to make it stop!!
Ross, No!!!
[Scene," Monica and Chandler's, Monica and Chandler have gone through the phone book and"
Monica," (on phone) Hello Greg? (Listens) Hi, this is Monica from the plane?"
Chandler, Jenny! That is so Jenny!
Monica," (on phone) Hey listen umm, how would you like to get together? Say next"
Written by, Brian Buckner & Sebastian Jones
Transcribed by, Eric Aasen
[Scene," Monica’s Restaurant Kitchen, she is frantically working and is handing two"
Monica," Okay, now this one is rare, this one is medium well! Now go-go-go!"
Phoebe, Hey!
Monica, Hey how was dinner?!
Phoebe, Dinner was good! 
Monica, Okay!
Phoebe, I’m just saying hi! Now I’m gonna go! 
Monica, Okay!
Phoebe," (To him) Oh, well hello there."
Guy, Hi.
Phoebe, (To Monica) I didn’t see this on the menu.
Monica," Uh Tim? This is Phoebe. Phoebe this is Tim, my new sous chef."
Phoebe," Oh, so you're Monica’s boss?"
Tim, Actually she’s my-my boss. Sous is French for under.
Phoebe, Oh! I sous stand.
Monica," Hey Tim? I need a calamari and a Caesar salad. And umm, could you get me"
Tim, Yeah.
Phoebe, Oh you…you made pesto?
Tim, Yes I did.
Phoebe, Would you say your pesto is the best-o?
Tim," I…I-I don’t know, but I would say it’s pretty good-o."
Monica," All right, I still need a calamari and a Caesar salad."
Tim, I like your necklace.
Phoebe, I made it myself.
Tim, You are so talented.
Phoebe," Well, it’s no pesto."
Monica," All right, all right! Let’s just cut to the chase, okay? (To"
[Scene," Chandler’s Office, he’s working at his computer as his boss, Mr."
Mr. Franklin, Wow Bing! Burning the midnight oil.
Chandler," You know me sir. Oh ah, I do have a question for ya. Do you know how I"
Mr. Franklin, You’re a joker Bing. (Walks away.)
Chandler, What’s funny about that?
Ross, (running up) Hey! Sorry I kept you waiting so long.
Chandler," Hey that’s okay. So, where do you want to go?"
Ross," Oh ah, I think you know where I want to go."
Chandler, The Hard Rock Café?
Ross, Yeah!
Chandler, Again?!
Ross, Yeah!!
Ross," I’m telling you, I like the food!"
Chandler, You like the Purple Rain display! (A guy walks up.) Hey Bob.
Bob, Hey Toby! Have a good night. (Walks by.)
Ross, Did that guy just call you Toby?
Chandler," Yeah, he thinks that’s my name."
Ross," Well, why don’t you correct him?"
Chandler," Oh it’s been going on way to long now. Y’know, I mean the"
Ross, Five years?! Chandler you have to tell him!
Chandler," No! That would be so awkward! Look—Besides, we work in different"
Ross, (laughs) Muriel. Wh-why would he call you Muriel? (Ross realizes
Chandler, Shh! It is a family name!
Ross," Chandler Muriel Bing. Boy, your parents never gave you a chance did they?"
[Scene," Days Of Our Lives set, Joey is doing a scene with a co-star as Rachel"
Joey's Co-Star," Drake, I’ve discovered the reason for all your headaches"
Dr. Drake Ramoray, What is it?
Joey's Co-Star, Apparently your brain transplant was not entirely successful. It
Dr. Drake Ramoray, Is it serious?
Joey's Co-Star," Not if we extract tissue from the original host body, synthesize"
Dr. Drake Ramoray," Well that sounds simple enough, let’s just do that."
Joey's Co-Star," We would, but when we went to exhume Jessica’s body, it was"
Director, Cut! Very nice people!
Joey," (To Rachel) Okay, let me just get changed and we can go to dinner."
Rachel, Well don’t—What happened to Jessica’s body?!
Joey," I’m not telling, you’ll have to see it on TV!"
Rachel, You don’t know do you?
Joey," No, couldn’t care less."
Joey's Co-Star, Hey good scene man.
Joey, Hey you too!
Joey's Co-Star, Alright.
Joey, What? You weren’t in it.
Rachel, Oh! (Motions to Joey’s co-star.)
Joey," Oh sorry. Uh-uh, Kash?"
Kash, Yes?
Joey," This is my friend Rachel. Rachel, Kash, Kash, Rachel."
Rachel, Hi.
Kash, Hey! How come I haven’t seen you here before?
Rachel," Well, Joey probably thinks I’ll just embarrass him. Y’know, he"
Joey, (grabbing her) Here we go! Here we go! (Starts to pull her away from
Rachel," Oh, we’re leaving. Bye Kash."
Kash, Bye.
Rachel, Say hi to Wally.
[Scene," Central Perk, Monica is getting coffee as Phoebe enters.]"
Phoebe, Ooh Monica!
Monica, Hi!
Phoebe, Oh my God! I had the best time with Tim last night. He is so
Monica, I…I have to fire him.
Phoebe, But why?!
Monica," Because he’s terrible! Okay, he’s slow, he burns things, last"
Phoebe," Well maybe he was just nervous, y’know you can be very"
Monica," Well, now she has no eyebrows, mission accomplished."
Phoebe," But Monica, he loves his job so much! Can you just give him another"
Monica," (thinks about it) All right, but if-if he lights someone else on fire he"
Phoebe," That’s fair! Thank you so much. Thanks. Oops, it looks like when he"
Monica, I paid to have this done.
Phoebe, Love it!
[Scene," Joey and Rachel's, Rachel is eating at the counter as Joey enters.]"
Joey, Hey!
Rachel, Hi!
Joey," Oh you know uh Kash, really liked you the other day. He said he thought"
Rachel, I thought I was a complete idiot.
Joey," Hey, I’m with you. He even asked me if I thought you’d go out"
Rachel," Oh! Oh, I think I’m gonna throw up a little bit. What did you say?"
Joey, I said no.
Rachel, What?!
Joey, What? I…I just figured since you’re pregnant you’re not
Rachel," Okay Joey, first of all Kash Ford is not people. Second of all, what did"
Joey, I didn’t tell him. I didn’t know if you were telling people.
Rachel," Good-good, don’t tell him. Don’t tell him. Just have him call"
Joey," Rach look, I really don’t think that’s such a great…"
Rachel," Okay, you go do it! I’ll come back to that set! I’ll meet more"
[Scene," Chandler’s Office Building, Chandler is walking by the elevators and sees"
Chandler, Hey Bob.
Bob, Hey! How’s my pal Toby doing today?
Chandler," If I see him, I’ll ask."
Bob, (laughs) Toby!
Mr. Franklin, Hey-hey! Bing? Was that Bob from six you were just talking too?
Chandler, Yeah!
Mr. Franklin, Oh then you know each other.
Chandler, We’re on a semi-first name basis.
Mr. Franklin, What do you think of adding him to our team?
Chandler," Bob? Ooh, working here with us? Everyday? Yeah, I don’t know if"
Mr. Franklin, Really? They love him down on six.
Chandler, But this is eleven. It’s almost twice as hard up here.
Mr. Franklin," Okay, I hear you loud and clear. Bob will stay put."
Chandler, I think it’s best sir.
Mr. Franklin, But we really do need to find someone up here. The work is
Chandler," Y’know what you should do, just toss ‘em in the shedder and"
Mr. Franklin, (laughs) That’s a good one. (Walks away.)
Chandler, What does a guy have to do to be taken seriously around
[Scene," Monica and Chandler's, Monica is in the kitchen as Phoebe enters.]"
Phoebe, Hey!
Monica," Hey. Okay, I gave him another chance, but Tim has got to go!"
Phoebe, But…
Monica, No! No-no! He is totally incompetent. I called the chef who recommended
Phoebe," Okay. Okay, but you can’t fire him today."
Monica, Why not?!
Phoebe, Because I’m dumping him today.
Monica, What?! You said he was sweet!
Phoebe, He is sweet. He’s too sweet. He calls me all the time.
Monica, Just don’t pick up your phone.
Phoebe," Then he comes over! (Mimicking him) ""I’m so worried about"
Monica, What? So now I’m not allowed to fire him?
Phoebe," You can’t fire him and dump him the same day, he’ll kill"
Monica," Okay well then, I’ll fire him today and you go out with him for"
Phoebe," Are you kidding?! Another week with that sip, I’ll kill myself!"
Monica," Okay well, then we’ll both do it today and he’ll just have to"
Phoebe, Okay. But the question is who’s gonna go first. ‘Cause whoever
Monica, What do you mean?
Phoebe," Come on! The boss that fires a guy that’s just been dumped, bitch!"
Monica, I wanted to do this days ago so I think I should go first.
Phoebe," All right, that makes sense. (Starts towards the door.) Ugh."
[Scene," Chandler’s Office Building, Bob is standing at the elevators and sees"
Bob," Hey Toby, you got a sec?"
Chandler," Sure, what’s up?"
Bob," I just had a meeting, I was actually hoping to get transferred up here, but"
[Scene," Joey and Rachel's, Rachel is getting ready for her date and Joey is reading a"
Rachel," Hey, what do you think is a better excuse for why I’m not drinking"
Ross, (entering with a pizza and beer) Hey!
Rachel, Hi!
Joey, Hey!
Ross," So, what do you want to do tonight? There’s a Ukrainian film at the"
Joey, No. No. But I’ll go see a normal person movie with ya.
Ross, Rach? You wanna come?
Rachel," Oh no, I can’t. I got a date."
Ross, A date?
Rachel, Yeah. Why? Is that weird for you?
Ross," Why no, it’s the opposite of weird. It’s-it’s uh, regular."
Joey, It’s no Ukrainian film.
Rachel, Yeah—Ooh! Earrings! (Goes into her room.)
Ross, A date?! She’s-she’s got a date?! With who?
Joey, I set her up with this actor on my show.
Ross, You set her up?!
Joey, No
Ross, Joey what-what were you thinking?!
Joey," Well, I was thinking that it’d probably be okay because Ross"
Ross," Joey, I’m not worried about her! I’m worried about my baby!"
Joey, Hey! I’m an (does the quote-marks thing as well) actor too! I’m
Ross, A ferry? My baby is going on a ferry? Do you have any idea how dangerous
Joey, Are we talking about one of those big boats that carry cars that go like
Ross, Why don’t they just jump out of an airplane?! Huh?! That-that’s
Kash, Hey Joey.
Joey," Hey Kash. Uh hey-hey this is Ross. Ross, this is Kash."
Kash, Hey.
Ross, Hi. I-I hear you’re going on a ferry tonight.
Kash, Yeah.
Ross, A bit of a daredevil are we?
Rachel, (entering from her room) Hey guys do you think this is too
Kash, Hey Rachel! You ready to go?
Rachel," Yeah! All right, I’ll see you guys later."
Ross, Okay. Have a great time you guys.
Rachel, Thank you.
Kash, Thank you.
Ross, Yes it is too slutty! (Joey slams the door before Rachel could hear the
[Scene," Central Perk, Phoebe is reading a magazine as Tim enters.]"
Tim, (walks behind Phoebe) Hi! (And startles her.)
Phoebe, Hi.
Tim," Oh, I’m so glad you called. I feel like it’s always me calling"
Phoebe," It will be…in a minute. Listen, Tim you’re a really great guy."
Tim, It’s because I’m with you.
Phoebe, Aw. (Phoebe gets a bad taste in her mouth when he looks away) I’m
Tim," Whoops. Sorry. (Looking at it, like a newscaster) This just in. (Phoebe"
Phoebe, Oh-oh no she doesn’t! I know what that is. You can stay.
Tim," Awww, I’ll miss you too Pheebs. (Starts to leave) And I will be"
[Scene," Joey and Rachel's, Joey and Ross are having dinner.]"
Joey, So what movie do you want to see—And not another one I have to read.
Ross, Books?
Joey," All right, car magazines, cereal boxes, but it’s like enough!"
Ross," Well, I tell you what. Why don’t we uh, why don’t we just stay"
Joey, And just wait for Rachel to come back from her date?
Ross," Hey, if that’s what you want to do I’m not gonna say no."
Joey, Dude! What is going on?!
Ross, I just…I have to find out how it went.
Joey, Why?
Ross, This guy could be my baby’s stepfather!
Joey, They go on one date and you’re worried about them getting married?!
Ross, I just—I-I can’t believe she’s-she’s dating?!
Joey," Well Ross, what did you think she was gonna do?"
Ross, I don’t know! I guess I just can’t believe any of this is
Joey, What do you mean?
Ross, It’s just I always thought when I had another kid it would be
Joey, That’s a nice picture. Maybe you can still have that!
Ross, No! No I can’t. I mean Rachel’s out with some guy. My baby went
Joey," Hey, can I ask you something? In this, in this picture of you and your"
Ross, It used to be. Now she doesn’t really have a face. Smokin’ body
Joey," Good call. Yeah. But, the face Ross, the face isn’t Rachel."
Ross, No but ahh! How much easier would it be if it were?
Joey," I know, but I don’t think that’s what she wants."
Ross," No, it’s not what I want either. I mean I-I can’t force myself"
Joey, That’s okay Ross maybe you need a new picture. Okay? It’s not
Ross, Yeah.
Joey," Hey, I tell you what. Let’s you and me go out and have some fun. Huh?"
Ross, (checks his watch) We can still catch that Ukrainian film.
Joey," No, I said fun!"
[Scene," Outside Chandler’s Office, Chandler is just about to go into his office"
Bob, Hey Toby!
Chandler, Hey Bobby.
Bob," It’s Bob actually. Hey, you work up here, can you tell me where this"
Chandler," Uhh yeah. Yeah, it’s (Points down the hall) right, right down"
Bob," I want to talk to that bastard, see what his problem is."
Chandler," Okay Bob listen uhh, I’m the reason you didn’t get the job"
Bob, Toby don’t.
Chandler, Bob!
Bob, Toby! I’m not gonna let you cover for him. Anything you say right now
Chandler, Well that puts me in a difficult position.
[Scene," Monica’s Restaurant Kitchen, Monica is waiting for Tim who enters.]"
Monica, Hey.
Tim," I got your page, is everything okay?"
Monica," Uh well that depends, how are things with Phoebe?"
Tim, Oh it’s great! It’s great! Thank you so much for introducing us!
Monica," Oh my pleasure. Okay, I’m afraid I’ve got some bad news."
Phoebe, Monica!
Monica, (simultaneously) You’re fired!
Phoebe, (simultaneously) I’m breaking up with you!
Tim, What?
Phoebe," I’m, I’m breaking up with you."
Monica, You’re fired.
Tim, Why?
Phoebe," I’m sorry, I’m just—I’m…I’m just not ready"
Monica," Yeah and-and I’m sorry too. But, well I just—I like things"
Phoebe," Oh that’s good, the chemistry thing for us too."
Tim," Wow! Umm, okay. Umm… (To Phoebe) I-I-I realize I came on a little"
Monica, Tim wait!
Tim, Yeah?
Monica," Umm, I think I spoke too quickly. There-there’s a learning curve"
Tim, Really?
Monica, Yeah.
Tim, Thank you so much! ‘Cause I-I know I can do better!
Monica, Okay.
Phoebe," And Tim I just wanna say, good luck here. (Shakes his hand and leaves,"
[Scene," A Street, Ross is walking past a newsstand and sees Rachel.]"
Ross, Hello.
Rachel, Hi!
Ross," Well, how was the date?"
Rachel, Well I’m alone and I just bought fifteen dollars worth of candy
Ross, Uh-huh. What happened?
Rachel, I made the mistake of telling him that I was pregnant.
Ross," Ah, he didn’t uh, take it so well?"
Rachel," Well better than you, but y’know still not what you want."
Ross, Oh?
Rachel," He got all weird and sputtery and then he said uh, ""Yeah, I hear"
Ross, He sounds swell.
Rachel, Doesn’t he?
Ross," Hey, wanna…wanna a little cheering up?"
Rachel, Yes.
Ross, Sit down. 
Rachel, Okay.
Ross, Guess whose middle name is Muriel.
Rachel, (thinks then gasps) Chandler M. Bing?
Ross, Yeah-ha!
